isogroup14262	A0A383ZFX3	GO:0005576; GO:0005764; GO:0102121; GO:0017040; GO:0006665
isogroup81787	A0A383ZFX3	GO:0005576; GO:0005764; GO:0102121; GO:0017040; GO:0006665
isogroup34798	A0A8M2	GO:0005737; GO:0010494; GO:0000932; GO:0032991; GO:1990904; GO:0017151; GO:0003723; GO:0007275; GO:0017148
isogroup24754	A0AUS0	GO:0004842
isogroup25060	A0AUS0	GO:0004842
isogroup37868	A0AUS0	GO:0004842
isogroup38996	A0AUS0	GO:0004842
isogroup43782	A0AUS0	GO:0004842
isogroup77736	A0BD73	GO:0022625; GO:0003723; GO:0003735; GO:0000463
isogroup50522	A0BD92	GO:0005737; GO:0004019; GO:0005525; GO:0000287; GO:0044208; GO:0046040
isogroup6623	A0BD92	GO:0005737; GO:0004019; GO:0005525; GO:0000287; GO:0044208; GO:0046040
isogroup60038	A0BLX0	GO:0016020; GO:0004724; GO:0046872; GO:0004722
isogroup70077	A0BQL0	GO:0016020; GO:0004724; GO:0046872; GO:0004722
isogroup13049	A0CCD2	GO:0046872; GO:0004721
isogroup87793	A0CDD4	GO:0036064; GO:0005929; GO:0005737; GO:0005874; GO:0031514; GO:0060271; GO:2000147; GO:2000253; GO:0060296
isogroup46453	A0CUB5	GO:0016020; GO:0004724; GO:0046872; GO:0004722
isogroup18040	A0E358	GO:0005615; GO:0005764; GO:0004197; GO:0051603
isogroup15160	A0FGR8	GO:0005789; GO:0140268; GO:0031234; GO:0005887; GO:0031227; GO:0016020; GO:0044232; GO:0045296; GO:0005509; GO:0005544; GO:0042802; GO:0031210; GO:0008429; GO:0035091; GO:0006897; GO:0061817; GO:0006687; GO:0006869
isogroup41651	A0FGR9	GO:0005789; GO:0140268; GO:0031234; GO:0005887; GO:0031227; GO:0044232; GO:0005509; GO:0005544; GO:0031210; GO:0008429; GO:0035091; GO:0061817; GO:0006687; GO:0006869
isogroup57916	A0FGR9	GO:0005789; GO:0140268; GO:0031234; GO:0005887; GO:0031227; GO:0044232; GO:0005509; GO:0005544; GO:0031210; GO:0008429; GO:0035091; GO:0061817; GO:0006687; GO:0006869
isogroup74984	A0FGR9	GO:0005789; GO:0140268; GO:0031234; GO:0005887; GO:0031227; GO:0044232; GO:0005509; GO:0005544; GO:0031210; GO:0008429; GO:0035091; GO:0061817; GO:0006687; GO:0006869
isogroup69151	A0FKG7	GO:0005634; GO:0004198
isogroup6811	A0JJX5	GO:0005783; GO:0016021; GO:0008289; GO:0046872; GO:0006869
isogroup43911	A0JM12	GO:0016021; GO:0005886; GO:0005112; GO:0043277; GO:0007155; GO:0030239; GO:0014719; GO:0014816; GO:0014841
isogroup17962	A0JM23	GO:0005929; GO:0060271; GO:0090090; GO:2000095; GO:0016055
isogroup43809	A0JM23	GO:0005929; GO:0060271; GO:0090090; GO:2000095; GO:0016055
isogroup43993	A0JM49	GO:0005829; GO:1990112; GO:0043023; GO:0061630; GO:0008270; GO:0043161; GO:0072344; GO:1990116
isogroup42591	A0JM56	noMatch
isogroup56954	A0JMG1	GO:0031463; GO:0005737; GO:0005634; GO:0031625; GO:0031397; GO:0043161; GO:0016567; GO:0030162; GO:0006511
isogroup3478	A0JMG9	GO:0005794; GO:0030173; GO:0015165; GO:0015136; GO:0008643
isogroup17852	A0JMH0	GO:0016021; GO:0051213; GO:0018193
isogroup65119	A0JMH2	GO:0005576
isogroup72232	A0JMU5	GO:0005737; GO:0016274; GO:0006397
isogroup12431	A0JNA8	GO:0005694; GO:0016363; GO:0006310; GO:0006281; GO:0043433
isogroup21318	A0JNC4	GO:0005783; GO:0030176; GO:0102336; GO:0102337; GO:0102338; GO:0009922; GO:0102756; GO:0034625; GO:0034626; GO:0019367; GO:0035338; GO:0030148; GO:0006636; GO:0042761
isogroup59724	A0JND4	GO:0005634; GO:0071354; GO:0002281; GO:0045892; GO:0001503; GO:0030316; GO:0045944; GO:0050727
isogroup73667	A0JNU3	GO:0003847; GO:0004067; GO:0004622; GO:0016747; GO:0006528; GO:0016042; GO:0006644
isogroup31505	A0JP85	GO:0030014; GO:0030015; GO:0005634; GO:0000932; GO:0030331; GO:0042974; GO:0031047; GO:0033147; GO:0048387; GO:0000122; GO:0017148; GO:0010606; GO:1900153; GO:0060213
isogroup17717	A0JPA0	GO:0016021; GO:0005886; GO:0015095; GO:0015081; GO:0022857; GO:0010960; GO:0015693
isogroup34140	A0JPI9	noMatch
isogroup63102	A0KPL4	GO:0005524; GO:0033785; GO:0033786; GO:0016773; GO:0097171
isogroup29844	A0LQM1	GO:0005737; GO:0051539; GO:0046872; GO:0070040; GO:0019843; GO:0002935; GO:0000049; GO:0070475
isogroup43578	A0LTX3	GO:0005524; GO:0005525
isogroup61310	A0LWS7	GO:0005524; GO:0051082; GO:0006457
isogroup73672	A0LXM7	GO:0005737; GO:0003746
isogroup74909	A0LXM8	GO:0015935; GO:0003735; GO:0006412
isogroup70925	A0LXQ1	GO:0005737; GO:0005525; GO:0003924; GO:0003743
isogroup87463	A0LXQ1	GO:0005737; GO:0005525; GO:0003924; GO:0003743
isogroup58839	A0LYC2	GO:0005840; GO:0019843; GO:0003735; GO:0006412
