comp1055_c0_seq1	isogroup1055
comp1058_c0_seq1	isogroup1058
comp1059_c0_seq1	isogroup1059
comp1060_c0_seq1	isogroup1060
comp1061_c0_seq1	isogroup1061
comp1062_c0_seq1	isogroup1062
comp1063_c0_seq1	isogroup1063
comp1065_c0_seq1	isogroup1065
comp1067_c0_seq1	isogroup1067
comp1068_c0_seq1	isogroup1068
comp1069_c0_seq1	isogroup1069
comp1070_c0_seq1	isogroup1070
comp1071_c0_seq1	isogroup1071
comp1075_c0_seq1	isogroup1075
comp1077_c0_seq1	isogroup1077
comp1080_c0_seq1	isogroup1080
comp1081_c0_seq1	isogroup1081
comp1083_c0_seq1	isogroup1083
comp1084_c0_seq1	isogroup1084
comp1088_c0_seq1	isogroup1088
comp1089_c0_seq1	isogroup1089
comp1091_c0_seq1	isogroup1091
comp1092_c0_seq1	isogroup1092
comp1093_c0_seq1	isogroup1093
comp1094_c0_seq1	isogroup1094
comp1101_c0_seq1	isogroup1101
comp1102_c0_seq1	isogroup1102
comp1104_c0_seq1	isogroup1104
comp1105_c0_seq1	isogroup1105
comp1106_c0_seq1	isogroup1106
comp1107_c0_seq1	isogroup1107
comp1111_c0_seq1	isogroup1111
comp1112_c0_seq1	isogroup1112
comp1114_c0_seq1	isogroup1114
comp1116_c0_seq1	isogroup1116
comp1118_c0_seq1	isogroup1118
comp1119_c0_seq1	isogroup1119
comp1121_c0_seq2	isogroup1121
comp1126_c0_seq1	isogroup1126
comp1127_c0_seq1	isogroup1127
comp1128_c0_seq1	isogroup1128
comp1131_c0_seq1	isogroup1131
comp1135_c0_seq1	isogroup1135
comp1136_c0_seq1	isogroup1136
comp1137_c0_seq1	isogroup1137
comp1138_c0_seq1	isogroup1138
comp1139_c0_seq1	isogroup1139
comp1141_c0_seq1	isogroup1141
comp1143_c0_seq1	isogroup1143
comp1145_c0_seq1	isogroup1145
comp1147_c0_seq1	isogroup1147
comp1151_c0_seq1	isogroup1151
